Wavenumber,Intensity
2906.00,827.007
2905.00,864.987
2904.00,872.009
2903.00,835.250
2902.00,850.830
2901.00,837.661
2900.00,833.306
2899.00,841.947
2898.00,852.667
2897.00,856.085
2896.00,851.866
2895.00,842.307
2894.00,879.336
2893.00,867.927
2892.00,858.967
2891.00,844.165
2890.00,875.408
2889.00,856.626
2888.00,880.644
2887.00,868.390
2886.00,862.083
2885.00,863.861
2884.00,846.224
2883.00,858.563
2882.00,841.876
2881.00,861.870
2880.00,863.344
2879.00,875.293
2878.00,863.026
2877.00,863.241
2876.00,876.476
2875.00,891.895
2874.00,875.242
2873.00,878.089
2872.00,871.107
2871.00,843.890
2870.00,857.707
2869.00,885.342
2868.00,865.753
2867.00,876.660
2866.00,882.216
2865.00,886.450
2864.00,846.060
2863.00,862.978
2862.00,889.019
2861.00,861.220
2860.00,874.334
2859.00,876.349
2858.00,883.759
2857.00,889.469
2856.00,877.191
2855.00,876.346
2854.00,910.288
2853.00,877.144
2852.00,880.483
2851.00,884.009
2850.00,886.333
2849.00,899.789
2848.00,847.493
2847.00,921.059
2846.00,884.213
2845.00,879.996
2844.00,896.634
2843.00,901.572
2842.00,884.072
2841.00,894.811
2840.00,905.739
2839.00,898.248
2838.00,907.297
2837.00,894.869
2836.00,900.144
2835.00,894.543
2834.00,887.032
2833.00,893.050
2832.00,908.340
2831.00,911.428
2830.00,908.830
2829.00,915.987
2828.00,903.341
2827.00,909.123
2826.00,917.643
2825.00,913.240
2824.00,896.843
2823.00,919.231
2822.00,905.655
2821.00,896.218
2820.00,947.244
2819.00,919.290
2818.00,931.908
2817.00,921.823
2816.00,908.640
2815.00,914.379
2814.00,916.210
2813.00,929.473
2812.00,930.837
2811.00,915.406
2810.00,935.327
2809.00,926.273
2808.00,914.954
2807.00,958.445
2806.00,952.816
2805.00,944.233
2804.00,925.453
2803.00,949.525
2802.00,937.632
2801.00,961.776
2800.00,954.765
2799.00,960.668
2798.00,948.755
2797.00,954.965
2796.00,947.578
2795.00,943.401
2794.00,965.493
2793.00,952.358
2792.00,954.423
2791.00,975.388
2790.00,966.462
2789.00,943.703
2788.00,963.058
2787.00,946.730
2786.00,975.181
2785.00,945.709
2784.00,974.120
2783.00,973.091
2782.00,951.402
2781.00,986.365
2780.00,979.225
2779.00,987.744
2778.00,960.999
2777.00,983.570
2776.00,972.011
2775.00,973.812
2774.00,1006.831
2773.00,1002.434
2772.00,984.974
2771.00,1007.192
2770.00,975.123
2769.00,1000.680
2768.00,1011.272
2767.00,983.595
2766.00,1019.678
2765.00,1011.089
2764.00,1011.495
2763.00,1033.833
2762.00,1029.094
2761.00,1020.144
2760.00,1021.590
2759.00,1034.238
2758.00,1043.975
2757.00,1046.403
2756.00,1048.152
2755.00,1015.407
2754.00,1050.656
2753.00,1057.186
2752.00,1033.945
2751.00,1072.684
2750.00,1078.002
2749.00,1052.970
2748.00,1069.295
2747.00,1076.807
2746.00,1080.897
2745.00,1061.251
2744.00,1083.887
2743.00,1082.161
2742.00,1093.226
2741.00,1099.008
2740.00,1106.020
2739.00,1087.771
2738.00,1109.902
2737.00,1112.115
2736.00,1106.509
2735.00,1113.675
2734.00,1113.686
2733.00,1141.547
2732.00,1146.335
2731.00,1136.171
2730.00,1122.568
2729.00,1150.771
2728.00,1150.736
2727.00,1149.147
2726.00,1174.746
2725.00,1161.019
2724.00,1174.914
2723.00,1182.458
2722.00,1176.351
2721.00,1181.371
2720.00,1187.299
2719.00,1193.489
2718.00,1199.503
2717.00,1197.692
2716.00,1209.580
2715.00,1212.348
2714.00,1207.088
2713.00,1206.194
2712.00,1179.819
2711.00,1196.131
2710.00,1240.010
2709.00,1226.536
2708.00,1201.161
2707.00,1225.786
2706.00,1237.142
2705.00,1231.198
2704.00,1208.802
2703.00,1223.230
2702.00,1236.773
2701.00,1230.564
2700.00,1223.702
2699.00,1242.453
2698.00,1227.255
2697.00,1229.709
2696.00,1235.517
2695.00,1233.835
2694.00,1233.473
2693.00,1226.003
2692.00,1243.940
2691.00,1213.081
2690.00,1210.802
2689.00,1230.047
2688.00,1214.145
2687.00,1220.442
2686.00,1211.355
2685.00,1194.486
2684.00,1204.700
2683.00,1221.410
2682.00,1194.970
2681.00,1198.602
2680.00,1188.213
2679.00,1190.629
2678.00,1182.298
2677.00,1189.698
2676.00,1195.305
2675.00,1172.060
2674.00,1194.208
2673.00,1179.527
2672.00,1185.922
2671.00,1171.054
2670.00,1156.178
2669.00,1155.281
2668.00,1161.498
2667.00,1147.420
2666.00,1146.441
2665.00,1159.499
2664.00,1150.933
2663.00,1149.060
2662.00,1127.895
2661.00,1150.828
2660.00,1152.377
2659.00,1145.387
2658.00,1130.265
2657.00,1127.625
2656.00,1138.370
2655.00,1127.048
2654.00,1127.197
2653.00,1142.528
2652.00,1110.755
2651.00,1112.305
2650.00,1114.332
2649.00,1118.000
2648.00,1109.844
2647.00,1110.885
2646.00,1109.557
2645.00,1099.644
2644.00,1109.753
2643.00,1110.505
2642.00,1077.143
2641.00,1097.325
2640.00,1070.126
2639.00,1092.543
2638.00,1087.608
2637.00,1100.468
2636.00,1080.696
2635.00,1087.985
2634.00,1088.569
2633.00,1083.678
2632.00,1069.996
2631.00,1097.469
2630.00,1091.856
2629.00,1074.967
2628.00,1066.640
2627.00,1096.375
2626.00,1068.662
2625.00,1074.599
2624.00,1092.177
2623.00,1084.669
2622.00,1092.261
2621.00,1068.803
2620.00,1071.279
2619.00,1070.993
2618.00,1072.465
2617.00,1075.260
2616.00,1087.367
2615.00,1048.623
2614.00,1073.788
2613.00,1061.976
2612.00,1054.399
2611.00,1078.762
2610.00,1073.688
2609.00,1093.927
2608.00,1065.593
2607.00,1061.785
2606.00,1063.822
2605.00,1076.898
2604.00,1053.682
2603.00,1065.867
2602.00,1055.130
2601.00,1072.774
2600.00,1057.515
2599.00,1079.590
2598.00,1044.529
2597.00,1043.210
2596.00,1050.820
2595.00,1044.382
2594.00,1064.919
2593.00,1082.940
2592.00,1062.064
2591.00,1091.746
2590.00,1068.988
2589.00,1076.664
2588.00,1068.047
2587.00,1066.555
2586.00,1060.543
2585.00,1069.485
2584.00,1073.664
2583.00,1068.360
2582.00,1047.707
2581.00,1065.626
2580.00,1083.602
2579.00,1053.094
2578.00,1061.071
2577.00,1049.220
2576.00,1062.752
2575.00,1074.045
2574.00,1061.768
2573.00,1061.584
2572.00,1065.244
2571.00,1077.797
2570.00,1070.526
2569.00,1058.120
2568.00,1074.792
2567.00,1062.248
2566.00,1075.504
2565.00,1079.978
2564.00,1082.877
2563.00,1072.149
2562.00,1058.251
2561.00,1056.344
2560.00,1063.754
2559.00,1057.922
2558.00,1073.604
2557.00,1083.833
2556.00,1074.707
2555.00,1087.416
2554.00,1056.390
2553.00,1077.916
2552.00,1059.015
2551.00,1112.573
2550.00,1076.279
2549.00,1088.886
2548.00,1063.133
2547.00,1084.252
2546.00,1055.684
2545.00,1082.727
2544.00,1073.854
2543.00,1052.403
2542.00,1081.366
2541.00,1097.564
2540.00,1069.469
2539.00,1049.448
2538.00,1065.457
2537.00,1087.404
2536.00,1089.927
2535.00,1097.010
2534.00,1094.173
2533.00,1091.549
2532.00,1088.187
2531.00,1074.842
2530.00,1093.000
2529.00,1086.492
2528.00,1080.306
2527.00,1102.134
2526.00,1091.706
2525.00,1081.962
2524.00,1091.959
2523.00,1071.333
2522.00,1089.185
2521.00,1112.334
2520.00,1094.429
2519.00,1097.275
2518.00,1090.948
2517.00,1091.616
2516.00,1084.575
2515.00,1088.735
2514.00,1102.712
2513.00,1098.024
2512.00,1117.307
2511.00,1109.824
2510.00,1092.667
2509.00,1094.495
2508.00,1077.557
2507.00,1088.512
2506.00,1100.234
2505.00,1094.735
2504.00,1105.507
2503.00,1099.413
2502.00,1114.350
2501.00,1117.412
2500.00,1109.437
2499.00,1109.753
2498.00,1119.030
2497.00,1103.759
2496.00,1100.243
2495.00,1133.517
2494.00,1129.835
2493.00,1118.300
2492.00,1124.883
2491.00,1121.767
2490.00,1096.552
2489.00,1114.165
2488.00,1123.211
2487.00,1117.990
2486.00,1119.123
2485.00,1134.094
2484.00,1092.368
2483.00,1102.678
2482.00,1113.367
2481.00,1128.140
2480.00,1098.100
2479.00,1122.220
2478.00,1128.502
2477.00,1129.540
2476.00,1121.541
2475.00,1115.994
2474.00,1133.322
2473.00,1105.374
2472.00,1122.281
2471.00,1132.988
2470.00,1114.458
2469.00,1115.040
2468.00,1128.813
2467.00,1125.577
2466.00,1147.176
2465.00,1144.935
2464.00,1136.884
2463.00,1132.759
2462.00,1143.307
2461.00,1132.601
2460.00,1130.888
2459.00,1144.682
2458.00,1133.877
2457.00,1147.741
2456.00,1143.709
2455.00,1132.238
2454.00,1121.884
2453.00,1142.098
2452.00,1154.001
2451.00,1161.358
2450.00,1136.779
2449.00,1148.032
2448.00,1163.645
2447.00,1154.299
2446.00,1147.008
2445.00,1152.260
2444.00,1138.894
2443.00,1159.468
2442.00,1156.151
2441.00,1154.444
2440.00,1161.306
2439.00,1132.129
2438.00,1148.499
2437.00,1170.852
2436.00,1167.590
2435.00,1155.203
2434.00,1155.967
2433.00,1160.829
2432.00,1186.695
2431.00,1185.910
2430.00,1156.582
2429.00,1174.393
2428.00,1173.417
2427.00,1176.663
2426.00,1155.301
2425.00,1170.364
2424.00,1163.807
2423.00,1175.363
2422.00,1165.960
2421.00,1175.803
2420.00,1180.684
2419.00,1151.430
2418.00,1188.044
2417.00,1183.109
2416.00,1168.379
2415.00,1184.500
2414.00,1159.302
2413.00,1191.490
2412.00,1164.902
2411.00,1185.858
2410.00,1186.248
2409.00,1182.650
2408.00,1181.098
2407.00,1179.233
2406.00,1184.133
2405.00,1186.934
2404.00,1181.083
2403.00,1178.497
2402.00,1181.174
2401.00,1193.081
2400.00,1187.953
2399.00,1187.038
2398.00,1197.445
2397.00,1194.134
2396.00,1195.590
2395.00,1183.999
2394.00,1172.897
2393.00,1204.435
2392.00,1204.820
2391.00,1192.876
2390.00,1196.238
2389.00,1223.420
2388.00,1186.241
2387.00,1184.839
2386.00,1210.945
2385.00,1203.368
2384.00,1223.894
2383.00,1184.058
2382.00,1206.959
2381.00,1196.945
2380.00,1224.086
2379.00,1207.435
2378.00,1197.858
2377.00,1226.504
2376.00,1221.276
2375.00,1239.475
2374.00,1229.393
2373.00,1218.414
2372.00,1203.272
2371.00,1226.050
2370.00,1242.175
2369.00,1219.896
2368.00,1207.928
2367.00,1241.519
2366.00,1227.011
2365.00,1230.933
2364.00,1227.907
2363.00,1211.943
2362.00,1225.365
2361.00,1225.267
2360.00,1203.139
2359.00,1210.792
2358.00,1243.094
2357.00,1240.936
2356.00,1235.955
2355.00,1231.887
2354.00,1228.804
2353.00,1247.271
2352.00,1232.613
2351.00,1238.677
2350.00,1240.273
2349.00,1236.500
2348.00,1252.599
2347.00,1252.219
2346.00,1212.859
2345.00,1250.422
2344.00,1241.155
2343.00,1228.211
2342.00,1272.391
2341.00,1235.832
2340.00,1262.082
2339.00,1263.552
2338.00,1246.045
2337.00,1263.042
2336.00,1251.424
2335.00,1246.984
2334.00,1257.644
2333.00,1241.543
2332.00,1262.076
2331.00,1251.936
2330.00,1258.976
2329.00,1264.759
2328.00,1244.584
2327.00,1245.751
2326.00,1264.200
2325.00,1287.557
2324.00,1273.159
2323.00,1286.202
2322.00,1267.714
2321.00,1236.800
2320.00,1255.107
2319.00,1264.390
2318.00,1264.812
2317.00,1270.119
2316.00,1273.521
2315.00,1273.193
2314.00,1276.375
2313.00,1267.230
2312.00,1281.996
2311.00,1257.837
2310.00,1272.412
2309.00,1270.974
2308.00,1293.012
2307.00,1274.998
2306.00,1296.135
2305.00,1267.367
2304.00,1258.095
2303.00,1282.360
2302.00,1264.935
2301.00,1284.371
2300.00,1291.537
2299.00,1285.692
2298.00,1277.129
2297.00,1287.003
2296.00,1266.718
2295.00,1284.181
2294.00,1285.299
2293.00,1272.992
2292.00,1291.857
2291.00,1282.358
2290.00,1285.738
2289.00,1287.204
2288.00,1300.069
2287.00,1289.573
2286.00,1276.183
2285.00,1312.562
2284.00,1288.643
2283.00,1296.986
2282.00,1285.942
2281.00,1304.173
2280.00,1301.237
2279.00,1296.892
2278.00,1300.243
2277.00,1300.265
2276.00,1295.734
2275.00,1288.271
2274.00,1313.009
2273.00,1300.886
2272.00,1300.933
2271.00,1310.422
2270.00,1314.728
2269.00,1296.571
2268.00,1323.035
2267.00,1327.058
2266.00,1290.791
2265.00,1304.149
2264.00,1312.012
2263.00,1317.045
2262.00,1335.197
2261.00,1316.971
2260.00,1318.168
2259.00,1314.281
2258.00,1330.702
2257.00,1319.010
2256.00,1292.258
2255.00,1310.865
2254.00,1337.064
2253.00,1311.795
2252.00,1327.085
2251.00,1304.776
2250.00,1318.060
2249.00,1332.942
2248.00,1342.700
2247.00,1334.665
2246.00,1333.718
2245.00,1352.929
2244.00,1326.977
2243.00,1333.403
2242.00,1328.536
2241.00,1321.865
2240.00,1315.779
2239.00,1326.773
2238.00,1327.448
2237.00,1362.630
2236.00,1333.912
2235.00,1335.873
2234.00,1311.181
2233.00,1350.670
2232.00,1343.318
2231.00,1347.376
2230.00,1368.095
2229.00,1327.329
2228.00,1340.604
2227.00,1360.704
2226.00,1345.856
2225.00,1322.237
2224.00,1341.869
2223.00,1364.163
2222.00,1319.459
2221.00,1344.577
2220.00,1353.525
2219.00,1366.779
2218.00,1360.674
2217.00,1347.555
2216.00,1350.029
2215.00,1355.530
2214.00,1335.284
2213.00,1362.689
2212.00,1343.885
2211.00,1343.721
2210.00,1321.140
2209.00,1382.075
2208.00,1338.410
2207.00,1362.601
2206.00,1368.749
2205.00,1372.659
2204.00,1345.778
2203.00,1367.014
2202.00,1359.434
2201.00,1369.576
2200.00,7376.554
2199.00,1362.441
2198.00,1356.099
2197.00,1358.317
2196.00,1367.361
2195.00,1363.730
2194.00,1360.933
2193.00,1385.543
2192.00,1370.140
2191.00,1361.029
2190.00,1353.847
2189.00,1375.215
2188.00,1393.272
2187.00,1376.525
2186.00,1377.812
2185.00,1377.783
2184.00,1369.151
2183.00,1363.992
2182.00,1383.471
2181.00,1379.738
2180.00,1395.042
2179.00,1365.278
2178.00,1365.015
2177.00,1389.221
2176.00,1379.421
2175.00,1364.310
2174.00,1377.157
2173.00,1393.398
2172.00,1371.825
2171.00,1408.725
2170.00,1406.068
2169.00,1384.596
2168.00,1399.355
2167.00,1391.521
2166.00,1406.512
2165.00,1364.049
2164.00,1376.333
2163.00,1409.474
2162.00,1398.899
2161.00,1389.189
2160.00,1398.625
2159.00,1393.018
2158.00,1402.381
2157.00,1391.716
2156.00,1421.045
2155.00,1393.260
2154.00,1401.598
2153.00,1423.122
2152.00,1382.473
2151.00,1395.902
2150.00,1386.031
2149.00,1396.810
2148.00,1407.402
2147.00,1414.602
2146.00,1406.573
2145.00,1414.884
2144.00,1392.089
2143.00,1390.737
2142.00,1392.774
2141.00,1407.035
2140.00,1409.248
2139.00,1428.373
2138.00,1419.485
2137.00,1405.607
2136.00,1402.257
2135.00,1406.049
2134.00,1402.229
2133.00,1418.207
2132.00,1395.558
2131.00,1405.924
2130.00,1413.006
2129.00,1431.829
2128.00,1438.625
2127.00,1434.440
2126.00,1384.723
2125.00,1412.943
2124.00,1395.111
2123.00,1426.788
2122.00,1446.691
2121.00,1407.980
2120.00,1417.689
2119.00,1422.916
2118.00,1431.813
2117.00,1428.022
2116.00,1397.934
2115.00,1412.895
2114.00,1410.781
2113.00,1441.290
2112.00,1419.097
2111.00,1439.817
2110.00,1414.838
2109.00,1424.252
2108.00,1429.604
2107.00,1410.894
2106.00,1444.480
2105.00,1409.504
2104.00,1434.765
2103.00,1412.238
2102.00,1428.402
2101.00,1418.229
2100.00,1443.973
2099.00,1422.777
2098.00,1441.730
2097.00,1438.617
2096.00,1441.475
2095.00,1444.137
2094.00,1437.091
2093.00,1444.447
2092.00,1429.961
2091.00,1415.175
2090.00,1426.523
2089.00,1452.868
2088.00,1445.551
2087.00,1453.076
2086.00,1443.369
2085.00,1447.116
2084.00,1453.132
2083.00,1437.655
2082.00,1431.910
2081.00,1420.094
2080.00,1454.317
2079.00,1430.422
2078.00,1451.697
2077.00,1456.118
2076.00,1434.027
2075.00,1433.849
2074.00,1433.844
2073.00,1428.603
2072.00,1444.238
2071.00,1432.650
2070.00,1446.463
2069.00,1467.454
2068.00,1457.264
2067.00,1449.741
2066.00,1462.667
2065.00,1438.327
2064.00,1461.629
2063.00,1462.521
2062.00,1417.273
2061.00,1458.194
2060.00,1450.379
2059.00,1464.586
2058.00,1442.555
2057.00,1452.057
2056.00,1445.730
2055.00,1434.686
2054.00,1476.573
2053.00,1446.463
2052.00,1443.114
2051.00,1457.777
2050.00,1452.780
2049.00,1452.318
2048.00,1453.576
2047.00,1445.673
2046.00,1433.838
2045.00,1461.421
2044.00,1443.174
2043.00,1440.430
2042.00,1463.301
2041.00,1468.808
2040.00,1439.222
2039.00,1459.902
2038.00,1459.821
2037.00,1449.202
2036.00,1437.723
2035.00,1454.520
2034.00,1457.107
2033.00,1460.889
2032.00,1467.861
2031.00,1456.778
2030.00,1472.491
2029.00,1456.937
2028.00,1454.066
2027.00,1471.670
2026.00,1447.298
2025.00,1476.064
2024.00,1460.576
2023.00,1455.054
2022.00,1459.492
2021.00,1447.713
2020.00,1479.227
2019.00,1463.339
2018.00,1467.526
2017.00,1457.084
2016.00,1453.516
2015.00,1470.536
2014.00,1466.650
2013.00,1479.207
2012.00,1483.632
2011.00,1464.943
2010.00,1492.666
2009.00,1478.480
2008.00,1466.607
2007.00,1470.769
2006.00,1476.759
2005.00,1465.225
2004.00,1475.139
2003.00,1456.638
2002.00,1454.699
2001.00,1480.560
2000.00,1453.113
1999.00,1451.371
1998.00,1483.842
1997.00,1472.730
1996.00,1462.077
1995.00,1479.131
1994.00,1448.133
1993.00,1479.379
1992.00,1469.804
1991.00,1472.934
1990.00,1445.908
1989.00,1471.110
1988.00,1472.746
1987.00,1468.916
1986.00,1480.251
1985.00,1477.545
1984.00,1464.111
1983.00,1466.270
1982.00,1454.736
1981.00,1470.729
1980.00,1474.252
1979.00,1454.580
1978.00,1447.957
1977.00,1463.125
1976.00,1466.297
1975.00,1492.751
1974.00,1494.379
1973.00,1448.640
1972.00,1475.020
1971.00,1462.294
1970.00,1485.893
1969.00,1474.838
1968.00,1484.432
1967.00,1482.951
1966.00,1485.883
1965.00,1471.328
1964.00,1470.651
1963.00,1450.938
1962.00,1485.145
1961.00,1471.073
1960.00,1478.259
1959.00,1479.064
1958.00,1478.930
1957.00,1473.138
1956.00,1459.993
1955.00,1471.483
1954.00,1469.189
1953.00,1470.145
1952.00,1486.343
1951.00,1482.461
1950.00,1480.087
1949.00,1485.913
1948.00,1472.170
1947.00,1491.367
1946.00,1503.418
1945.00,1476.654
1944.00,1502.247
1943.00,1459.628
1942.00,1486.554
1941.00,1471.399
1940.00,1470.213
1939.00,1477.586
1938.00,1479.289
1937.00,1487.636
1936.00,1475.163
1935.00,1459.107
1934.00,1469.699
1933.00,1469.847
1932.00,1480.271
1931.00,1471.584
1930.00,1483.366
1929.00,1488.088
1928.00,1471.492
1927.00,1482.391
1926.00,1459.869
1925.00,1478.359
1924.00,1481.069
1923.00,1475.924
1922.00,1455.440
1921.00,1488.190
1920.00,1481.134
1919.00,1464.706
1918.00,1487.671
1917.00,1468.748
1916.00,1443.840
1915.00,1484.686
1914.00,1483.031
1913.00,1480.760
1912.00,1473.886
1911.00,1493.382
1910.00,1486.496
1909.00,1480.260
1908.00,1470.839
1907.00,1458.609
1906.00,1472.176
1905.00,1460.207
1904.00,1472.473
1903.00,1483.847
1902.00,1471.957
1901.00,1494.494
1900.00,1488.909
1899.00,1460.139
1898.00,1472.946
1897.00,1461.645
1896.00,1483.294
1895.00,1493.504
1894.00,1481.519
1893.00,1488.421
1892.00,1474.018
1891.00,1455.007
1890.00,1500.441
1889.00,1470.316
1888.00,1471.290
1887.00,1476.749
1886.00,1477.943
1885.00,1479.185
1884.00,1482.619
1883.00,1475.432
1882.00,1482.023
1881.00,1466.011
1880.00,1472.204
1879.00,1456.425
1878.00,1458.897
1877.00,1478.364
1876.00,1470.859
1875.00,1481.441
1874.00,1479.821
1873.00,1461.298
1872.00,1489.618
1871.00,1465.288
1870.00,1482.200
1869.00,1472.148
1868.00,1474.281
1867.00,1476.001
1866.00,1456.155
1865.00,1465.703
1864.00,1467.881
1863.00,1453.756
1862.00,1459.053
1861.00,1471.530
1860.00,1473.792
1859.00,1447.992
1858.00,1455.909
1857.00,1457.547
1856.00,1467.230
1855.00,1471.148
1854.00,1497.014
1853.00,1470.973
1852.00,1467.182
1851.00,1466.623
1850.00,1473.767
1849.00,1483.214
1848.00,1463.179
1847.00,1470.937
1846.00,1477.263
1845.00,1474.521
1844.00,1463.318
1843.00,1485.882
1842.00,1467.791
1841.00,1475.155
1840.00,1474.307
1839.00,1446.508
1838.00,1474.625
1837.00,1441.847
1836.00,1462.394
1835.00,1464.249
1834.00,1479.094
1833.00,1481.687
1832.00,1451.332
1831.00,1467.023
1830.00,1474.414
1829.00,1472.673
1828.00,1436.997
1827.00,1442.896
1826.00,1461.766
1825.00,1471.660
1824.00,1465.421
1823.00,1449.012
1822.00,1471.410
1821.00,1466.960
1820.00,1454.035
1819.00,1447.674
1818.00,1443.271
1817.00,1452.931
1816.00,1440.089
1815.00,1450.680
1814.00,1457.405
1813.00,1459.404
1812.00,1456.375
1811.00,1458.202
1810.00,1452.712
1809.00,1448.135
1808.00,1481.001
1807.00,1462.568
1806.00,1464.314
1805.00,1444.881
1804.00,1458.112
1803.00,1467.030
1802.00,1449.028
1801.00,1424.906
1800.00,1449.401
1799.00,1447.971
1798.00,1433.235
1797.00,1467.311
1796.00,1441.547
1795.00,1441.259
1794.00,1451.841
1793.00,1474.006
1792.00,1451.212
1791.00,1450.240
1790.00,1442.466
1789.00,1459.455
1788.00,1440.651
1787.00,1460.387
1786.00,1457.399
1785.00,1434.699
1784.00,1445.736
1783.00,1431.996
1782.00,1432.438
1781.00,1461.078
1780.00,1440.201
1779.00,1449.523
1778.00,1444.234
1777.00,1460.718
1776.00,1435.469
1775.00,1482.240
1774.00,1452.456
1773.00,1452.766
1772.00,1448.011
1771.00,1462.361
1770.00,1445.165
1769.00,1439.621
1768.00,1423.727
1767.00,1429.908
1766.00,1451.433
1765.00,1434.166
1764.00,1460.680
1763.00,1423.339
1762.00,1452.146
1761.00,1440.798
