# Raman microscope export (synthetic -- generated by make_demo_data.py)
# Laser        : 532 nm
# Grating      : 1800 l/mm
# Exposure     : 10 s x 3 accumulations
# Objective    : 50x
# Columns      : Wavenumber (cm-1)	Intensity (counts)
1332.00	1485.167
1333.00	1517.685
1334.00	1531.814
1335.00	1531.622
1336.00	1571.025
1337.00	1603.863
1338.00	1612.263
1339.00	1625.525
1340.00	1628.657
1341.00	1653.889
1342.00	1642.894
1343.00	1674.486
1344.00	1673.859
1345.00	1696.237
1346.00	1694.251
1347.00	1679.732
1348.00	1696.612
1349.00	1710.061
1350.00	1680.373
1351.00	1683.854
1352.00	1676.211
1353.00	1660.688
1354.00	1681.818
1355.00	1676.245
1356.00	1659.076
1357.00	1640.236
1358.00	1623.601
1359.00	1613.207
1360.00	1587.031
1361.00	1591.529
1362.00	1577.999
1363.00	1561.083
1364.00	1527.867
1365.00	1519.538
1366.00	1501.073
1367.00	1509.178
1368.00	1474.779
1369.00	1435.260
1370.00	1448.208
1371.00	1451.994
1372.00	1424.036
1373.00	1413.224
1374.00	1390.423
1375.00	1354.126
1376.00	1344.329
1377.00	1339.848
1378.00	1342.498
1379.00	1337.428
1380.00	1332.128
1381.00	1310.366
1382.00	1316.968
1383.00	1293.585
1384.00	1280.356
1385.00	1291.294
1386.00	1262.748
1387.00	1233.987
1388.00	1247.384
1389.00	1254.940
1390.00	1210.879
1391.00	1237.897
1392.00	1232.837
1393.00	1214.628
1394.00	1209.151
1395.00	1216.846
1396.00	1211.533
1397.00	1229.155
1398.00	1214.699
1399.00	1187.610
1400.00	1192.909
1401.00	1208.408
1402.00	1219.666
1403.00	1198.698
1404.00	1195.106
1405.00	1211.186
1406.00	1186.219
1407.00	1180.565
1408.00	1165.240
1409.00	1174.103
1410.00	1204.593
1411.00	1159.701
1412.00	1175.328
1413.00	1156.838
1414.00	1173.933
1415.00	1181.800
1416.00	1167.081
1417.00	1177.720
1418.00	1176.650
1419.00	1172.495
1420.00	1186.940
1421.00	1174.987
1422.00	1161.355
1423.00	1156.292
1424.00	1153.838
1425.00	1169.281
1426.00	1159.341
1427.00	1195.695
1428.00	1184.835
1429.00	1159.992
1430.00	1158.514
1431.00	1182.699
1432.00	1139.824
1433.00	1157.064
1434.00	1174.001
1435.00	1151.804
1436.00	1157.231
1437.00	1158.990
1438.00	1171.427
1439.00	1165.485
1440.00	1169.039
1441.00	1171.777
1442.00	1165.451
1443.00	1178.917
1444.00	1157.377
1445.00	1149.463
1446.00	1145.982
1447.00	1148.494
1448.00	1162.017
1449.00	1181.694
1450.00	1172.167
1451.00	1163.670
1452.00	1158.821
1453.00	1166.151
1454.00	1168.523
1455.00	1167.485
1456.00	1158.005
1457.00	1170.444
1458.00	1189.348
1459.00	1152.064
1460.00	1176.317
1461.00	1154.822
1462.00	1183.577
1463.00	1173.541
1464.00	1158.641
1465.00	1186.064
1466.00	1207.879
1467.00	1188.619
1468.00	1202.523
1469.00	1189.022
1470.00	1165.315
1471.00	1198.446
1472.00	1188.924
1473.00	1177.810
1474.00	1206.213
1475.00	1201.707
1476.00	1193.458
1477.00	1211.709
1478.00	1192.386
1479.00	1212.162
1480.00	1194.776
1481.00	1214.122
1482.00	1196.190
1483.00	1228.988
1484.00	1215.920
1485.00	1231.849
1486.00	1206.606
1487.00	1212.619
1488.00	1230.302
1489.00	1189.233
1490.00	1211.326
1491.00	1238.535
1492.00	1233.770
1493.00	1242.027
1494.00	1228.701
1495.00	1241.368
1496.00	1228.058
1497.00	1222.641
1498.00	1221.092
1499.00	1237.186
1500.00	1239.649
1501.00	1241.169
1502.00	1208.678
1503.00	1229.881
1504.00	1250.136
1505.00	1262.699
1506.00	1255.103
1507.00	1254.389
1508.00	1240.145
1509.00	1295.116
1510.00	1260.734
1511.00	1297.320
1512.00	1299.106
1513.00	1287.012
1514.00	1280.295
1515.00	1292.293
1516.00	1280.513
1517.00	1301.229
1518.00	1302.000
1519.00	1312.331
1520.00	1321.460
1521.00	1335.088
1522.00	1314.011
1523.00	1335.713
1524.00	1318.367
1525.00	1321.968
1526.00	1330.290
1527.00	1331.106
1528.00	1360.025
1529.00	1364.911
1530.00	1374.880
1531.00	1365.310
1532.00	1375.142
1533.00	1371.392
1534.00	1371.268
1535.00	1397.467
1536.00	1402.640
1537.00	1393.763
1538.00	1422.027
1539.00	1402.408
1540.00	1429.836
1541.00	1433.487
1542.00	1444.182
1543.00	1447.453
1544.00	1482.273
1545.00	1488.516
1546.00	1507.330
1547.00	1506.654
1548.00	1502.055
1549.00	1526.246
1550.00	1530.313
1551.00	1564.478
1552.00	1588.731
1553.00	1594.133
1554.00	1599.781
1555.00	1620.159
1556.00	1645.541
1557.00	1645.132
1558.00	1684.603
1559.00	1706.479
1560.00	1719.818
1561.00	1744.582
1562.00	1775.871
1563.00	1789.171
1564.00	1815.293
1565.00	1861.540
1566.00	1882.724
1567.00	1928.774
1568.00	1925.956
1569.00	1946.055
1570.00	2008.543
1571.00	2038.577
1572.00	2047.794
1573.00	2068.007
1574.00	2113.097
1575.00	2119.351
1576.00	2161.265
1577.00	2162.042
1578.00	2205.711
1579.00	2200.554
1580.00	2237.334
1581.00	2269.022
1582.00	2254.487
1583.00	2269.908
1584.00	2252.007
1585.00	2244.140
1586.00	2228.249
1587.00	2246.544
1588.00	2217.945
1589.00	2219.779
1590.00	2165.308
1591.00	2153.794
1592.00	2132.721
1593.00	2122.697
1594.00	2100.654
1595.00	2043.456
1596.00	2009.811
1597.00	1974.749
1598.00	1984.035
1599.00	1939.787
1600.00	1906.492
1601.00	1887.810
1602.00	1832.706
1603.00	1818.572
1604.00	1827.316
1605.00	1798.628
1606.00	1774.450
1607.00	1740.386
1608.00	1740.186
1609.00	1736.159
1610.00	1682.739
1611.00	1681.126
1612.00	1660.113
1613.00	1654.884
1614.00	1636.737
1615.00	1621.581
1616.00	1600.261
1617.00	1598.844
1618.00	1580.500
1619.00	1575.573
1620.00	1566.608
1621.00	1565.814
1622.00	1542.088
1623.00	1536.799
1624.00	1545.612
1625.00	1522.635
1626.00	1515.030
1627.00	1521.852
1628.00	1508.426
1629.00	1500.271
1630.00	1496.165
1631.00	1473.310
1632.00	1488.670
1633.00	1494.277
1634.00	1480.829
1635.00	1450.920
1636.00	1468.971
1637.00	1450.888
1638.00	1455.420
1639.00	1456.281
1640.00	1437.189
1641.00	1464.473
1642.00	1444.727
1643.00	1452.329
1644.00	1447.851
1645.00	1453.915
1646.00	1449.776
1647.00	1415.603
1648.00	1431.746
1649.00	1403.661
1650.00	1422.074
1651.00	1434.274
1652.00	1435.024
1653.00	1437.975
1654.00	1416.522
1655.00	1423.513
1656.00	1419.545
1657.00	1432.361
1658.00	1435.069
1659.00	1410.626
1660.00	1459.330
1661.00	1412.926
1662.00	1407.682
1663.00	1418.450
1664.00	1419.585
1665.00	1416.322
1666.00	1401.304
1667.00	1426.160
1668.00	1408.565
1669.00	1425.845
1670.00	1423.625
1671.00	1391.187
1672.00	1394.308
1673.00	1393.691
1674.00	1408.365
1675.00	1405.718
1676.00	1408.029
1677.00	1394.821
1678.00	1409.486
1679.00	1421.036
1680.00	1388.014
1681.00	1401.560
1682.00	1406.792
1683.00	1402.173
1684.00	1401.310
1685.00	1424.871
1686.00	1419.034
1687.00	1413.836
1688.00	1394.535
1689.00	1430.613
1690.00	1408.120
1691.00	1396.934
1692.00	1399.919
1693.00	1398.209
1694.00	1429.669
1695.00	1406.829
1696.00	1405.285
1697.00	1378.867
1698.00	1413.737
1699.00	1392.392
1700.00	1391.745
1701.00	1412.877
1702.00	1395.399
1703.00	1416.035
1704.00	1419.722
1705.00	1385.052
1706.00	1405.165
1707.00	1388.197
1708.00	1406.632
1709.00	1418.622
1710.00	1391.619
1711.00	1429.928
1712.00	1404.886
1713.00	1394.743
1714.00	1407.780
1715.00	1419.119
1716.00	1393.434
1717.00	1410.335
1718.00	1394.192
1719.00	1425.489
1720.00	1413.267
1721.00	1406.680
1722.00	1424.586
1723.00	1397.085
1724.00	1408.217
1725.00	1435.485
1726.00	1412.240
1727.00	1430.412
1728.00	1416.879
1729.00	1406.547
1730.00	1412.404
1731.00	1416.700
1732.00	1411.279
1733.00	1406.727
1734.00	1407.662
1735.00	1399.667
1736.00	1419.222
1737.00	1423.052
1738.00	1427.751
1739.00	1397.530
1740.00	1429.308
1741.00	1419.874
1742.00	1403.379
1743.00	1422.141
1744.00	1431.188
1745.00	1428.130
1746.00	1431.013
1747.00	1434.103
1748.00	1433.961
1749.00	1423.235
1750.00	1399.125
1751.00	1415.454
1752.00	1429.297
1753.00	1419.845
1754.00	1434.162
1755.00	1435.965
1756.00	1427.426
1757.00	1449.863
1758.00	1416.060
1759.00	1439.394
1760.00	1423.004
1761.00	1419.764
1762.00	1436.649
1763.00	1422.650
1764.00	1440.802
1765.00	1416.947
1766.00	1431.822
1767.00	1421.731
1768.00	1429.484
1769.00	1428.291
1770.00	1419.661
1771.00	1441.521
1772.00	1419.162
1773.00	1422.791
1774.00	1445.699
1775.00	1447.127
1776.00	1443.907
1777.00	1440.421
1778.00	1464.121
1779.00	1422.709
1780.00	1428.745
1781.00	1426.179
1782.00	1449.328
1783.00	1442.437
1784.00	1452.746
1785.00	1451.519
1786.00	1437.580
1787.00	1430.884
1788.00	1429.234
1789.00	1468.109
1790.00	1453.607
1791.00	1449.537
1792.00	1438.775
1793.00	1440.884
1794.00	1439.553
1795.00	1440.211
1796.00	1415.667
1797.00	1444.186
1798.00	1440.744
1799.00	1449.216
1800.00	1448.659
1801.00	1456.789
1802.00	1446.793
1803.00	1456.913
1804.00	1417.015
1805.00	1434.926
1806.00	1469.244
1807.00	1434.295
1808.00	1445.965
1809.00	1458.182
1810.00	1439.493
1811.00	1459.135
1812.00	1433.706
1813.00	1428.259
1814.00	1435.642
1815.00	1432.121
1816.00	1452.122
1817.00	1448.887
1818.00	1457.006
1819.00	1440.998
1820.00	1484.301
1821.00	1452.997
1822.00	1453.948
1823.00	1460.318
1824.00	1452.276
1825.00	1447.967
1826.00	1456.919
1827.00	1467.256
1828.00	1464.558
1829.00	1468.210
1830.00	1450.473
1831.00	1448.277
1832.00	1481.958
1833.00	1455.367
1834.00	1464.300
1835.00	1467.742
1836.00	1476.250
1837.00	1443.303
1838.00	1454.068
1839.00	1454.938
1840.00	1456.830
1841.00	1431.799
1842.00	1459.898
1843.00	1426.624
1844.00	1465.225
1845.00	1468.393
1846.00	1469.408
1847.00	1448.064
1848.00	1474.268
1849.00	1452.720
1850.00	1448.641
1851.00	1451.878
1852.00	1453.742
1853.00	1466.256
1854.00	1474.351
1855.00	1439.499
1856.00	1458.487
1857.00	1476.062
1858.00	1467.941
1859.00	1471.857
1860.00	1448.026
1861.00	1477.710
1862.00	1447.738
1863.00	1469.083
1864.00	1483.371
1865.00	1489.819
1866.00	1473.633
1867.00	1478.291
1868.00	1460.664
1869.00	1462.381
1870.00	1482.407
1871.00	1468.605
1872.00	1467.267
1873.00	1452.073
1874.00	1471.009
1875.00	1477.152
1876.00	1460.068
1877.00	1463.706
1878.00	1488.946
1879.00	1472.306
1880.00	1466.887
1881.00	1456.886
1882.00	1463.271
1883.00	1467.880
1884.00	1487.480
1885.00	1463.891
1886.00	1492.913
1887.00	1460.397
1888.00	1467.407
1889.00	1481.975
1890.00	1469.121
1891.00	1462.187
1892.00	1470.712
1893.00	1477.820
1894.00	1451.984
1895.00	1469.725
1896.00	1471.526
1897.00	1468.120
1898.00	1481.914
1899.00	1466.388
1900.00	1468.954
1901.00	1473.894
1902.00	1482.300
1903.00	1471.007
1904.00	1491.964
1905.00	1462.974
1906.00	1489.402
1907.00	1463.764
1908.00	1472.192
1909.00	1478.605
1910.00	1498.979
1911.00	1485.151
1912.00	1469.608
1913.00	1490.142
1914.00	1472.059
1915.00	1465.193
1916.00	1480.139
1917.00	1475.949
1918.00	1486.316
1919.00	1468.329
1920.00	1479.555
1921.00	1482.638
1922.00	1478.404
1923.00	1474.760
1924.00	1466.773
1925.00	1486.023
1926.00	1476.855
1927.00	1481.190
1928.00	1471.049
1929.00	1475.434
1930.00	1462.848
1931.00	1476.334
1932.00	1484.500
1933.00	1476.439
1934.00	1485.639
1935.00	1479.081
1936.00	1491.688
1937.00	1473.034
1938.00	1455.640
1939.00	1480.479
1940.00	1473.290
1941.00	1463.559
1942.00	1483.042
1943.00	1478.371
1944.00	1480.512
1945.00	1471.144
1946.00	1477.459
1947.00	1478.106
1948.00	1496.304
1949.00	1466.753
1950.00	1474.783
1951.00	1479.220
1952.00	1454.098
1953.00	1455.498
1954.00	1500.658
1955.00	1453.394
1956.00	1481.426
1957.00	1464.273
1958.00	1465.215
1959.00	1450.500
1960.00	1463.396
1961.00	1483.528
1962.00	1457.358
1963.00	1481.072
1964.00	1477.587
1965.00	1497.945
1966.00	1467.924
1967.00	1488.670
1968.00	1484.063
1969.00	1469.840
1970.00	1453.205
1971.00	1491.151
1972.00	1456.538
1973.00	1467.100
1974.00	1483.246
1975.00	1485.903
1976.00	1462.226
1977.00	1471.844
1978.00	1468.978
1979.00	1486.110
1980.00	1501.833
1981.00	1449.662
1982.00	1482.458
1983.00	1436.999
1984.00	1471.299
1985.00	1457.654
1986.00	1494.688
1987.00	1472.605
1988.00	1461.587
1989.00	1464.253
1990.00	1463.154
1991.00	1472.127
1992.00	1467.776
1993.00	1477.347
1994.00	1487.760
1995.00	1477.490
1996.00	1454.154
1997.00	1449.170
1998.00	1459.377
1999.00	1480.863
2000.00	1463.984
2001.00	1459.770
2002.00	1469.213
2003.00	1450.337
2004.00	1453.418
2005.00	1472.977
2006.00	1462.975
2007.00	1460.931
2008.00	1469.934
2009.00	1458.854
2010.00	1457.384
2011.00	1459.845
2012.00	1472.335
2013.00	1465.558
2014.00	1450.239
2015.00	1460.667
2016.00	1471.810
2017.00	1486.204
2018.00	1449.768
2019.00	1467.256
2020.00	1459.802
2021.00	1472.525
2022.00	1467.721
2023.00	1479.697
2024.00	1467.965
2025.00	1454.889
2026.00	1454.662
2027.00	1465.683
2028.00	1465.244
2029.00	1488.966
2030.00	1479.988
2031.00	1445.468
2032.00	1463.430
2033.00	1442.928
2034.00	1438.701
2035.00	1467.158
2036.00	1464.519
2037.00	1445.095
2038.00	1476.939
2039.00	1445.138
2040.00	1442.506
2041.00	1463.998
2042.00	1458.462
2043.00	1453.525
2044.00	1454.285
2045.00	1457.410
2046.00	1452.681
2047.00	1451.915
2048.00	1430.859
2049.00	1437.129
2050.00	1460.184
2051.00	1444.017
2052.00	1458.624
2053.00	1466.517
2054.00	1447.040
2055.00	1454.299
2056.00	1475.422
2057.00	1458.441
2058.00	1471.799
2059.00	1467.690
2060.00	1457.918
2061.00	1447.121
2062.00	1437.943
2063.00	1434.286
2064.00	1453.039
2065.00	1452.395
2066.00	1444.253
2067.00	1456.098
2068.00	1438.226
2069.00	1458.366
2070.00	1445.082
2071.00	1443.722
2072.00	1443.708
2073.00	1442.078
2074.00	1472.668
2075.00	1423.015
2076.00	1444.021
2077.00	1456.362
2078.00	1449.579
2079.00	1436.876
2080.00	1460.912
2081.00	1426.736
2082.00	1423.406
2083.00	1445.420
2084.00	1420.668
2085.00	1409.101
2086.00	1447.744
2087.00	1445.795
2088.00	1444.954
2089.00	1429.821
2090.00	1437.367
2091.00	1423.086
2092.00	1454.978
2093.00	1443.151
2094.00	1442.056
2095.00	1409.236
2096.00	1441.808
2097.00	1449.530
2098.00	1445.677
2099.00	1440.027
2100.00	1430.020
2101.00	1425.400
2102.00	1436.190
2103.00	1433.029
2104.00	1430.735
2105.00	1423.647
2106.00	1446.991
2107.00	1412.256
2108.00	1425.450
2109.00	1418.209
2110.00	1437.002
2111.00	1441.227
2112.00	1438.432
2113.00	1432.006
2114.00	1405.546
2115.00	1446.785
2116.00	1427.442
2117.00	1419.368
2118.00	1420.353
2119.00	1415.444
2120.00	1424.025
2121.00	1422.078
2122.00	1413.450
2123.00	1386.345
2124.00	1416.173
2125.00	1421.724
2126.00	1421.721
2127.00	1412.968
2128.00	1419.649
2129.00	1425.947
2130.00	1407.359
2131.00	1429.990
2132.00	1388.323
2133.00	1396.039
2134.00	1399.695
2135.00	1380.606
2136.00	1397.323
2137.00	1423.678
2138.00	1422.972
2139.00	1408.614
2140.00	1427.469
2141.00	1409.059
2142.00	1399.577
2143.00	1407.814
2144.00	1402.629
2145.00	1412.465
2146.00	1384.953
2147.00	1414.337
2148.00	1396.181
2149.00	1411.309
2150.00	1381.899
2151.00	1394.705
2152.00	1400.016
2153.00	1409.236
2154.00	1383.146
2155.00	1417.101
2156.00	1402.217
2157.00	1389.447
2158.00	1409.693
2159.00	1395.644
2160.00	1407.636
2161.00	1420.936
2162.00	1401.600
2163.00	1385.376
2164.00	1385.903
2165.00	1397.315
2166.00	1393.091
2167.00	1378.949
2168.00	1380.234
2169.00	1395.546
2170.00	1415.020
2171.00	1354.595
2172.00	1394.145
2173.00	1382.222
2174.00	1393.401
2175.00	1393.753
2176.00	1383.265
2177.00	1369.727
2178.00	1364.440
2179.00	1357.999
2180.00	1394.439
2181.00	1376.534
2182.00	1371.845
2183.00	1374.272
2184.00	1360.805
2185.00	1379.805
2186.00	1391.244
2187.00	1388.350
2188.00	1355.164
2189.00	1389.580
2190.00	1363.310
2191.00	1348.785
2192.00	1356.245
2193.00	1358.657
2194.00	1369.427
2195.00	1356.379
2196.00	1349.891
2197.00	1364.089
2198.00	1389.597
2199.00	1357.327
2200.00	1370.570
2201.00	1365.200
2202.00	1395.377
2203.00	1339.939
2204.00	1375.099
2205.00	1345.812
2206.00	1353.313
2207.00	1358.493
2208.00	1397.115
2209.00	1348.954
2210.00	1334.669
2211.00	1372.128
2212.00	1345.711
2213.00	1352.087
2214.00	1353.933
2215.00	1354.603
2216.00	1350.613
2217.00	1355.082
2218.00	1355.730
2219.00	1360.540
2220.00	1344.375
2221.00	1339.725
2222.00	1335.153
2223.00	1354.232
2224.00	1345.767
2225.00	1352.163
2226.00	1351.182
2227.00	1364.153
2228.00	1345.609
2229.00	1351.343
2230.00	1327.077
2231.00	1327.737
2232.00	1336.150
2233.00	1324.480
2234.00	1346.543
2235.00	1321.458
2236.00	1337.460
2237.00	1306.326
2238.00	1321.748
2239.00	1330.118
2240.00	1330.257
2241.00	1311.044
2242.00	1333.024
2243.00	1342.594
2244.00	1337.848
